course_id,title,platform,provider,level,duration,rating,skills,price
577,AI Applications in Marketing and Finance,Coursera,University of Pennsylvania,All Levels,35.0,4.7,"['"" Customer Analysis""', '"" Machine Learning""', '"" Marketing""', '"" User Experience""}', '"" Probability & Statistics""', '"" Financial Accounting""', '{"" Business Analysis""', '"" Statistical Machine Learning""', '"" Finance""']",0.0
578,Pre-MBA Statistics,Coursera,IIMA - IIM Ahmedabad,Beginner,150.0,4.5,"['"" Data Science""', '{"" Data Analysis""', '"" General Statistics""}']",0.0
579,Dog Emotion and Cognition,Coursera,Duke University,All Levels,150.0,4.7,"['{""(4.5k reviews)""}']",0.0
580,Vivre avec le TDAH à travers les âges,Coursera,University of Geneva,Beginner,150.0,4.9,"['{""(70 reviews)""}']",0.0
581,Hands-on Introduction to Linux Commands and Shell Scripting,Coursera,IBM,Beginner,35.0,4.7,"['{"" Linux""}']",0.0
582,An Introduction to Programming the Internet of Things (IOT),Coursera,"University of California, Irvine",Beginner,450.0,4.7,"['"" Communication""', '"" Operating Systems""', '"" C Programming Language Family""', '"" Network Architecture""', '"" Computer Architecture""', '"" Hardware Design""', '"" Networking Hardware""', '"" C++ Programming""', '"" Other Programming Languages""', '"" Computer Programming Tools""', '"" Computer Networking""', '"" Human Computer Interaction""', '"" System Programming""', '"" Problem Solving""', '"" Network Model""', '"" Computer Programming""', '"" Software-Defined Networking""}', '"" Python Programming""', '"" Computational Thinking""', '"" Systems Design""', '"" Graphics Software""', '"" Microarchitecture""', '"" Application Development""', '"" Programming Principles""', '{"" Internet Of Things""']",0.0
583,Sales and CRM Overview,Coursera,Salesforce,Beginner,35.0,4.5,"['"" Sales""', '"" Marketing""', '"" Sales Systems""', '{"" Customer Relationship Management""', '"" Databases""', '"" B2B Sales""', '"" Salesforce""', '"" Operations Management""}', '"" Leadership and Management""', '"" Customer Success""']",0.0
584,Harnessing the Power of Data with Power BI,Coursera,Microsoft,Beginner,35.0,4.5,"['"" Load""', '"" Transform""', '"" Power BI""}', '{"" Data Analysis""', '"" Extract""']",0.0
585,Finding Your Professional Voice: Confidence & Impact,Coursera,University of London,Beginner,35.0,4.8,"['{"" Communication""}']",0.0
586,Fundamentos de la ciberseguridad,Coursera,Google,Beginner,35.0,4.9,"['{"" Python Programming""', '"" SQL""}']",0.0
587,Creative Thinking: Techniques and Tools for Success,Coursera,Imperial College London,Beginner,150.0,4.7,"['{"" Creativity""', '"" Problem Solving""}']",0.0
