Name,Code,About,Link,"ng-binding 2 , ng-binding 3  ng-binding 8",ng-binding 5,Date,Mode,Instructure
Information Architecture (IA) and Content Strategy,DESIGN X435.1,Information Architecture (IA) and content strategy (CS) play significant roles in improving user experience. The challenge lies in building the right content for users' needs. The solution is unifying design and content with  and  professionals—all working harmoniously together.,https://extension.berkeley.edu/search/publicCourseSearchDetails.do?method=load&courseId=27188944,"Professional Program in User Experience (UX) Design ,   IA",This section is open for enrollment,"September 19, 2024 - December 12, 2024",Live Online,
Interior Finishes and Materials,ARCH X480,Learn how to use finishes and materials appropriately for interior applications and addition to construction documentation. Study how materials are installed and how they transition into one another. Understand the substructure on which they are applied and how to specify materials properly. Activities include individual outreach to product representatives in each student's region/territory and virtual/in-person field trips to local showrooms to expand your resource base.,https://extension.berkeley.edu/search/publicCourseSearchDetails.do?method=load&courseId=40006,"Certificate Program in Interior Design ,   ",This section is open for enrollment,"September 7, 2024 - December 21, 2024",Live Online,Dr. Deirdre M. Cimino
Internship in Interior Design,ARCH X409.2,"Immerse yourself in the interior design profession through an internship at a design or architectural firm. With the guidance of your instructor and the supervision of the host organization, you work as a junior designer to gain greater exposure to the real design world and prepare for your future profession.",https://extension.berkeley.edu/search/publicCourseSearchDetails.do?method=load&courseId=39977,"Certificate Program in Interior Design ,   ",This section is open for enrollment,,Online,"Julie Barron,  B.F.A."
Modern Art: History and Theory,HISTART X441,"The European and American modernist revolution that began in the late-19th century and continued into the 20th subverted traditional art and laid the groundwork for contemporary art. Through illustrated lectures and class discussions, you examine important artworks from the Romantic period through the pop-art era. You also explore the cultural conditions that produced these works—including the artists' lives—and investigate the critical and theoretical writings that shaped the aesthetic discourse and subsequent art history.",https://extension.berkeley.edu/search/publicCourseSearchDetails.do?method=load&courseId=41236,"Post-Baccalaureate Certificate in Visual Arts ,   ",This section is open for enrollment,"October 1, 2024 - December 3, 2024",Live Online,"Rachel Silberstein,  D.Phil."
Painting Fundamentals,ART X410,"Get an introduction to the essential materials and techniques of painting, including building and stretching a canvas, mixing color, underpainting, glazing and washing, dry brushing and using a palette knife. Explore the use of composition, line, contrast, texture and color. Demonstrations, slide-illustrated lectures, and individual and group critiques provide a basis to develop your visual awareness.",https://extension.berkeley.edu/search/publicCourseSearchDetails.do?method=load&courseId=40044,"Post-Baccalaureate Certificate in Visual Arts , Specialized Program in Painting  ",This section is open for enrollment,"September 25, 2024 - December 18, 2024",Live Online,"Larry Robinson,  M.F.A."
Photoshop I,DESIGN X462,"This course covers the use of Adobe Photoshop, an essential tool for the work of any . The class focuses on the creation of “”, a design technique unique to Photoshop.",https://extension.berkeley.edu/search/publicCourseSearchDetails.do?method=load&courseId=40712,"Professional Program in Graphic Design , Professional Program in User Experience (UX) Design  graphic or visual designer",This section is open for enrollment,"September 19, 2024 - November 21, 2024",Live Online,Nicolas Gutierrez
Post-Baccalaureate Mentorship,ART X495.5,"Develop a cohesive body of work that demonstrates your approach to art making; gain a skill level appropriate for potential application to graduate programs; and practice the presentation of your conceptual intent and artworks in formal, philosophical and historical terms. Receive individual guidance and evaluation from an approved program instructor. Evaluate your artistic growth, and discuss issues of meaning, content, technique and formal resolution in your artwork.",https://extension.berkeley.edu/search/publicCourseSearchDetails.do?method=load&courseId=40077,"Post-Baccalaureate Certificate in Visual Arts ,   ",This section is open for enrollment,"September 27, 2024 - December 13, 2024",Online,Anastasia Meadors
Post-Baccalaureate Seminar 1: Portfolio and Visual Dynamics,ART X401,"Explore the dynamics of aesthetic expression, perception and process through interdisciplinary study. Learn the essential principles of visual design and composition, narrative, and conceptual intent that inform and enrich your artistic practice. Course topics investigate form and content issues, problem-solving methods and strategies for developing a cohesive body of work.",https://extension.berkeley.edu/search/publicCourseSearchDetails.do?method=load&courseId=40035,"Post-Baccalaureate Certificate in Visual Arts ,   ",This section is open for enrollment,"September 4, 2024 - November 2, 2024",Live Online,"Emmanuelle Namont Kouznetsov,  M.F.A."
Principles of Sustainability,ARCH X411.6,"Explore various pathways to global environmental sustainability, examining commerce, culture, design, policy and individual actions. Focus on key concepts such as ecological footprint measurement, life-cycle analysis, cradle-to-cradle design, green energy, biomimicry and zero waste. Then, learn to apply these sustainable principles to your life.",https://extension.berkeley.edu/search/publicCourseSearchDetails.do?method=load&courseId=1297928,"Certificate Program in Interior Design , Certificate Program in Construction Management and Leadership  Advanced Program in Sustainable Management",This section is open for enrollment,"September 17, 2024 - October 15, 2024",Live Online,"Kelly S. Gearhart, B.A., LEED AP"
Quantitative UX Metrics and Research,DESIGN X440,"Learn how to measure the success of product design through obtaining data and then turning that data into actionable information. Gain insight into how industry professionals assess product success and provide strategic recommendations by studying the user. You gain a fundamental understanding of  and interpreted through methods used for assessing product development, such as customer surveys, website visits, benchmark studies, , psychometrics and statistical techniques. Some of the topics of this class include basic statistics review, hypothesis testing, nonparametric testing; and the collection, analysis and visualization of data. When it comes to usability and its applications, you set up questionnaires for assessing perceived usability, design a post usability questionnaire, design experiments using a standardized usability questionnaire, and analyze and present usability results. You also create a survey and launch it on  to analyze results faster.",https://extension.berkeley.edu/search/publicCourseSearchDetails.do?method=load&courseId=49587373,"Professional Program in User Experience (UX) Design ,   how usability data is collected",This section is open for enrollment,"October 1, 2024 - December 10, 2024",Live Online,Jennifer Romano
Revit,ARCH X479.2,"Learn the fundamentals of building information modeling (BIM) using Autodesk Revit Architecture. See how to implement and employ BIM software to facilitate the design process and automate documentation. Participate in hands-on activities to familiarize yourself with powerful, parametric 3-D modeling tools that enable you to generate fully coordinated plans, sections, elevations, 3-D perspectives and renderings.",https://extension.berkeley.edu/search/publicCourseSearchDetails.do?method=load&courseId=40005,"Certificate Program in Interior Design ,   ",This section is open for enrollment,"September 9, 2024 - December 16, 2024",Live Online,"Laurie Friedman AIA, LEED AP"
Space Planning,ARCH X413.8,"Develop plans that satisfy programmatic needs and use space efficiently. Learn techniques for assimilating client-project information, analyzing program requirements, and developing schematic space-planning solutions for residential and commercial situations. You also study building codes, fire safety and barrier-free designs as essential components of laying out a workable interior space.",https://extension.berkeley.edu/search/publicCourseSearchDetails.do?method=load&courseId=39987,"Certificate Program in Interior Design ,   ",This section is open for enrollment,"September 10, 2024 - December 17, 2024",Live Online,"Julie Barron,  B.F.A."
The Creative Eye: The Art of Seeing with a Camera,ARCH X414.3,"“The camera is an instrument that teaches people to see without a camera.”
—Photographer Dorothea Lange",https://extension.berkeley.edu/search/publicCourseSearchDetails.do?method=load&courseId=85691712,"Post-Baccalaureate Certificate in Visual Arts ,   ",This section is open for enrollment,"October 3, 2024 - December 12, 2024",Live Online,David Ulrich
Typography Fundamentals,DESIGN X450.9,"The Typography Fundamentals course will provide students with a broad understanding of  and how to make intelligent, confident typographic design decisions. It is intended to help students develop a professional grasp on the craft of typography and the application of professional processes to content design. It will consider technology, across multiple media. You will receive an overview of the evolution of typography in both forms and printing technologies and you will also gain industry knowledge and printing standards.",https://extension.berkeley.edu/search/publicCourseSearchDetails.do?method=load&courseId=40710,"Professional Program in Graphic Design , Professional Program in User Experience (UX) Design  contemporary typography",This section is open for enrollment,"September 7, 2024 - December 14, 2024",Live Online,Shelley Gruendler
User Research for UX,DESIGN X475.3,"Get an introduction to the fundamentals of UX research. You gain an understanding of the logistics and theory of conducting user research and how to impact user experience design and product development. You also learn best practices for determining when to use particular methodologies, either qualitative or quantitative research and how to develop appropriate research interviews.",https://extension.berkeley.edu/search/publicCourseSearchDetails.do?method=load&courseId=26741233,"Professional Program in User Experience (UX) Design ,   eye tracking",This section is open for enrollment,"September 4, 2024 - November 6, 2024",Live Online,Lisa Garel
User-Interface (UI) Design,DESIGN X475.2,"Study the principles of information, interaction and navigation design to organize and present information for optimal user interface design (UI). Examine  in the context of  by exploring the core principles of UI. These principles include: make it intuitive to interact with the interface: perception, simplicity, clarity, consistency, hierarchy (visual and temporal); and the human capabilities that motivate them, including motor skills, attention and human error. (In other words, """" by Dieter Rams.)",https://extension.berkeley.edu/search/publicCourseSearchDetails.do?method=load&courseId=25307461,"Professional Program in Graphic Design , Professional Program in User Experience (UX) Design  human-computer interaction (HCI)",This section is open for enrollment,"September 18, 2024 - November 20, 2024",Live Online,Manny Darden
Visual Design Principles,DESIGN X401.2,"Explore the underlying principles of visual/graphic design through a series of weekly studio exercises, online lectures, readings, seminars and guidance in . You use these software demos to explore color theory (CMYK, RGB, Hexadecimal #), grid systems, logo design, perception, balance, line, repetition, composition and .",https://extension.berkeley.edu/search/publicCourseSearchDetails.do?method=load&courseId=40702,"Professional Program in Graphic Design , Professional Program in User Experience (UX) Design  Adobe Illustrator and Photoshop",This section is open for enrollment,"September 18, 2024 - December 18, 2024",Online,"Tom Gehrig,  M.F.A."
Web Design With HTML5 and CSS3,DESIGN X455,"Get an introduction to  to create a small or personal website. After Applying web standards as you code and mastering the fundamentals of web development and design, you then proceed rapidly with semantic coding, starting from text editor in the browser and ending with a website on the Internet. Class discussions include alternative open source software and best practices for usability and .",https://extension.berkeley.edu/search/publicCourseSearchDetails.do?method=load&courseId=11188390,"Professional Program in Graphic Design , Professional Program in User Experience (UX) Design  HTML5 and CSS3",This section is open for enrollment,"September 9, 2024 - November 18, 2024",Live Online,Pamela Wong
