Link,Institution,Name,Rating,Review,Duration,Spend time per week,Category,Type
https://www.futurelearn.com/courses/dementia-arts,UCL (University College London) & Created Out of Mind,dementia arts,4.8,(136 reviews),4 weeks,2 hrs per week,Included in Unlimited,courses
https://www.futurelearn.com/courses/dementia-inclusive-hospitals-from-a-universal-design-approach,"Trinity College Dublin, EIT Health, HOPE & Hospital Clinic Barcelona",dementia inclusive hospitals from a universal design approach,NA,NA,3 weeks,3 hrs per week,Included in Unlimited,courses
https://www.futurelearn.com/courses/demystify-business-models,Luleå University of Technology,demystify business models,4.6,(5 reviews),2 weeks,3 hrs per week,Included in Unlimited,courses
https://www.futurelearn.com/courses/de-mystifying-mindfulness,Leiden University,de mystifying mindfulness,4.7,(150 reviews),8 weeks,10 hrs per week,Included in Unlimited,courses
https://www.futurelearn.com/courses/radiation-protection-in-dental-practice,UK Health Security Agency,radiation protection in dental practice,4.9,(97 reviews),5 weeks,1 hr per week,Premium course,courses
https://www.futurelearn.com/courses/sport-for-sustainable-development-spanish,"The International Platform on Sport and Development, Australian Department of Foreign Affairs and Trade (DFAT) & Commonwealth Secretariat",sport for sustainable development spanish,NA,NA,8 weeks,3 hrs per week,Free digital upgrade,courses
https://www.futurelearn.com/courses/designing-a-feminist-chatbot,UAL Creative Computing Institute & Institute of Coding,designing a feminist chatbot,4.8,(47 reviews),4 weeks,2 hrs per week,Included in Unlimited,courses
https://www.futurelearn.com/courses/excel-advanced-data-visualization-and-dashboard-creation-sc,The Excel Club,excel advanced data visualization and dashboard creation sc,NA,NA,6 weeks,2 hrs per week,Included in Unlimited,courses
https://www.futurelearn.com/courses/excel-advanced-data-visualization-and-dashboard-creation,The Excel Club,excel advanced data visualization and dashboard creation,NA,NA,6 weeks,2 hrs per week,NA,courses
https://www.futurelearn.com/courses/design-board-games-for-socio-political-change,Abertay University,design board games for socio political change,NA,NA,3 weeks,3 hrs per week,Included in Unlimited,courses
https://www.futurelearn.com/courses/green-corridors-for-clean-air,RMIT University & EIT Urban Mobility,green corridors for clean air,NA,NA,3 weeks,3 hrs per week,Included in Unlimited,courses
https://www.futurelearn.com/courses/designing-and-implementing-a-leadership-development-strategy,The University of Adelaide,designing and implementing a leadership development strategy,NA,NA,6 weeks,2 hrs per week,Premium course,courses
