Course link,Course Code,Category,Sub Category,Name ,Instructure,Topic,Resource Type
https://ocw.mit.edu/courses/2-61-internal-combustion-engines-spring-2017/,2.61, Graduate,courses,Internal Combustion Engines,"Prof. Wai Cheng, ","Engineering, Science, Physics","Lecture Notes, Instructor Insights , assignment, Multiple Assignment Types"
https://ocw.mit.edu/courses/2-96-management-in-engineering-fall-2012/,2.96, Undergraduate,courses,Management in Engineering,"Prof. Jung-Hoon Chun, Prof. Henry S. Marcus","Entrepreneurship, Business, Project Management","Lecture Notes, Instructor Insights , assignment, Multiple Assignment Types"
https://ocw.mit.edu/courses/3-051j-materials-for-biomedical-applications-spring-2006/,3.051J , Undergraduate,courses,Materials for Biomedical Applications,"Prof. Anne Mayes, ","Engineering, Biological Engineering, Materials Science and Engineering","Lecture Notes, Instructor Insights , assignment, Multiple Assignment Types"
https://ocw.mit.edu/courses/3-35-fracture-and-fatigue-fall-2003/,3.35, Graduate,courses,Fracture and Fatigue,"Prof. Subra Suresh, ","Engineering, Mechanical Engineering, Materials Science and Engineering","Lecture Notes, Instructor Insights , assignment, Multiple Assignment Types"
https://ocw.mit.edu/courses/6-033-computer-system-engineering-spring-2018/,6.033, Undergraduate,courses,Computer System Engineering,"Dr. Katrina LaCurts, ","Engineering, Computer Science, Software Design and Engineering","Lecture Notes, Instructor Insights , assignment, Multiple Assignment Types"
https://ocw.mit.edu/courses/mas-160-signals-systems-and-information-for-media-technology-fall-2007/,MAS.160 , Undergraduate,courses,"Signals, Systems and Information for Media Technology","Dr. V. Michael Bove, Prof. Rosalind W. Picard","Engineering, Systems Engineering, Electrical Engineering","Lecture Notes, Instructor Insights , assignment, Multiple Assignment Types"
https://ocw.mit.edu/courses/6-012-microelectronic-devices-and-circuits-fall-2009/,6.012, Undergraduate,courses,Microelectronic Devices and Circuits,"Prof. Clifton Fonstad, ","Engineering, Computer Science, Electronics","Lecture Notes, Instructor Insights , assignment, Multiple Assignment Types"
https://ocw.mit.edu/courses/ec-716-d-lab-waste-fall-2015/,EC.716 , Undergraduate,courses,D-Lab: Waste,"Kate Mytty, Pedro Reynolds-Cuellar","Science, Social Science, Public Administration","Lecture Notes, Instructor Insights , assignment, Multiple Assignment Types"
https://ocw.mit.edu/courses/7-391-concept-centered-teaching-spring-2006/,7.391, Undergraduate,courses,Concept-Centered Teaching,"Dr. Melissa Kosinski-Collins, ","Science, Teaching and Education, Curriculum and Teaching","Lecture Notes, Instructor Insights , assignment, Multiple Assignment Types"
https://ocw.mit.edu/courses/mas-836-sensor-technologies-for-interactive-environments-spring-2011/,MAS.836 , Graduate,courses,Sensor Technologies for Interactive Environments,"Prof. Joseph Paradiso, ","Engineering, Electronics, Electrical Engineering","Lecture Notes, Instructor Insights , assignment, Multiple Assignment Types"
https://ocw.mit.edu/courses/12-950-parallel-programming-for-multicore-machines-using-openmp-and-mpi-january-iap-2010/,12.95, Graduate,courses,Parallel Programming for Multicore Machines Using OpenMP and MPI,"Dr. Constantinos Evangelinos, ","Engineering, Computer Science, Software Design and Engineering","Lecture Notes, Instructor Insights , assignment, Multiple Assignment Types"
https://ocw.mit.edu/courses/14-472-public-economics-ii-spring-2004/,14.472, Graduate,courses,Public Economics II,"Prof. Peter Diamond, Prof. Jonathan Gruber","Economics, Social Science, Public Administration","Lecture Notes, Instructor Insights , assignment, Multiple Assignment Types"
https://ocw.mit.edu/courses/1-018j-ecology-i-the-earth-system-fall-2009/,1.018J , Undergraduate,courses,Ecology I: The Earth System,"Prof. Penny Chisholm, Prof. Edward DeLong","Science, Earth Science, Biology","Lecture Notes, Instructor Insights , assignment, Multiple Assignment Types"
https://ocw.mit.edu/courses/es-260-womens-novels-a-weekly-book-club-spring-2006/,ES.260 , Undergraduate,courses,Women's Novels: A Weekly Book Club,"Faye Kasemset, Jocelyn Rodal","Humanities, Literature, Society","Lecture Notes, Instructor Insights , assignment, Multiple Assignment Types"
https://ocw.mit.edu/courses/sts-089-technology-and-innovation-in-africa-fall-2014/,STS.089 , Undergraduate,courses,Technology and Innovation in Africa,"Prof. Clapperton Chakanetsa Mavhunga, ","Humanities, History, Innovation","Lecture Notes, Instructor Insights , assignment, Multiple Assignment Types"
https://ocw.mit.edu/courses/17-445-international-relations-theory-in-the-cyber-age-fall-2015/,17.445," Undergraduate, Graduate",courses,International Relations Theory in the Cyber Age,"Prof. Nazli Choucri, ","Social Science, Political Science, International Relations","Lecture Notes, Instructor Insights , assignment, Multiple Assignment Types"
https://ocw.mit.edu/courses/17-486-japan-and-east-asian-security-fall-2016/,17.486, Graduate,courses,Japan and East Asian Security,"Prof. Richard J. Samuels, ","Economics, Social Science, Public Administration","Lecture Notes, Instructor Insights , assignment, Multiple Assignment Types"
https://ocw.mit.edu/courses/18-155-differential-analysis-fall-2004/,18.155, Graduate,courses,Differential Analysis,"Prof. Richard Melrose, ","Mathematics, Differential Equations, Mathematical Analysis","Lecture Notes, Instructor Insights , assignment, Multiple Assignment Types"
https://ocw.mit.edu/courses/20-110j-thermodynamics-of-biomolecular-systems-fall-2005/,20.110J , Undergraduate,courses,Thermodynamics of Biomolecular Systems,"Prof. Moungi Bawendi, Prof. Robert Field","Engineering, Science, Physics","Lecture Notes, Instructor Insights , assignment, Multiple Assignment Types"
https://ocw.mit.edu/courses/21g-056-visual-histories-german-cinema-1945-to-present-fall-2003/,21G.056 , Undergraduate,courses,Visual  Histories: German Cinema 1945 to Present,"Prof. Bernd Widdig, ","Humanities, History, Visual Arts","Lecture Notes, Instructor Insights , assignment, Multiple Assignment Types"
