Link,Course name,Course code,school,location,status
https://online.stanford.edu/courses/cs228-probabilistic-graphical-models-principles-and-techniques,Probabilistic Graphical Models: Principles and Techniques,CS228,Stanford School of Engineering,NA ,NA 
https://online.stanford.edu/courses/csp-xphi127-probing-existence-beyond-heideggers-being-and-time,Probing Existence: Beyond Heidegger’s Being and Time,CSP-XPHI127,Stanford Continuing Studies,"Online, instructor-led",Enrollment Open
https://online.stanford.edu/courses/xprod120-product-costing-understanding-financials-your-product,Product Costing: Understanding the Financials of Your Product,XPROD120,Stanford School of Engineering,"Online, self-paced",Enrollment Open
https://online.stanford.edu/courses/cee250-product-management-fundamentals-real-economy,Product Management Fundamentals for the Real Economy,CEE250,"Stanford School of Engineering, Stanford Doerr School of Sustainability",NA ,NA 
https://online.stanford.edu/courses/xprod100-product-management-program-preview,Product Management Program Preview,XPROD100,Stanford School of Engineering,"Online, self-paced",Enrollment Open
https://online.stanford.edu/courses/xprod300-product-management-accelerated,Product Management: Accelerated,XPROD300,Stanford School of Engineering,"Online, instructor-paced",Enrollment Open
https://online.stanford.edu/courses/xprod110-product-management-transforming-opportunities-great-products,Product Management: Transforming Opportunities into Great Products,XPROD110,Stanford School of Engineering,"Online, self-paced",Enrollment Open
https://online.stanford.edu/courses/xprod154-product-marketing-meeting-needs-your-customers,Product Marketing: Meeting the Needs of Your Customers,XPROD154,Stanford School of Engineering,"Online, self-paced",Enrollment Open
https://online.stanford.edu/courses/cs243-program-analysis-and-optimizations,Program Analysis and Optimizations,CS243,Stanford School of Engineering,NA ,NA 
https://online.stanford.edu/courses/cs106b-programming-abstractions,Programming Abstractions,CS106B,Stanford School of Engineering,"Online, instructor-led",Enrollment Open
https://online.stanford.edu/courses/cs242-programming-languages,Programming Languages,CS242,Stanford School of Engineering,"Online, instructor-led",Enrollment Open
https://online.stanford.edu/courses/sohs-ymusic0003-programming-max-structuring-interactive-software-digital-arts,Programming MAX: Structuring Interactive Software for Digital Arts,SOHS-YMUSIC0003,Stanford School of Humanities and Sciences,"Online, self-paced,",Enrollment Open
https://online.stanford.edu/courses/cs106a-programming-methodology,Programming Methodology,CS106A,Stanford School of Engineering,"Online, instructor-led",Enrollment Open
https://online.stanford.edu/courses/cee242r-project-risk-analysis,Project Risk Analysis,CEE242R,"Stanford School of Engineering, Stanford Doerr School of Sustainability",NA ,NA 
https://online.stanford.edu/courses/som-xche0027-psychology-high-performance,Psychology for High Performance,SOM-XCHE0027,"Stanford School of Medicine, Stanford Center for Health Education","Online, self-paced,",Enrollment Open
https://online.stanford.edu/courses/som-xche0005-psychology-addiction-and-recovery,Psychology of Addiction and Recovery,SOM-XCHE0005,"Stanford School of Medicine, Stanford Center for Health Education","Online, self-paced,",Enrollment Open
https://online.stanford.edu/courses/bioe300b-quantitative-physiology,Quantitative Physiology,BIOE300B,Stanford School of Engineering,NA ,NA 
https://online.stanford.edu/courses/cs259q-quantum-computing,Quantum Computing,CS259Q,Stanford School of Engineering,"Online, instructor-led",Enrollment Open
https://online.stanford.edu/courses/soe-yeeqmse01-quantum-mechanics-scientists-and-engineers,Quantum Mechanics for Scientists and Engineers,SOE-YEEQMSE01,Stanford School of Engineering,"Online, self-paced, EdX",Enrollment Open
https://online.stanford.edu/courses/soe-yeeqmse02-quantum-mechanics-scientists-and-engineers-2,Quantum Mechanics for Scientists and Engineers 2,SOE-YEEQMSE02,Stanford School of Engineering,"Online, self-paced, EdX",Enrollment Open
